periodo,year,mes,inflacion_mes,inflacion_diciembre,inflacion_interanual,inflacion_diciembre2,inflacion_interanual2,tc_mes,tc_diciembre,tc_interanual,tc_diciembre2,tc_interanual2,pib_trimestre,pib_diciembre,pib_diciembre2,tpm_mes,tpm_trimestre,tpm_diciembre,tpm_interanual,tpm_interanual2,tc_diciembre_v,tc_interanual_v,tc_diciembre2_v,tc_interanual2_v
2009-06-01,2009,6,0.476428571428571,4.61214285714286,5.54428571428571,6.58428571428571,,36.1378571428571,37.6471428571429,38.6742857142857,39.7635714285714,,0.799166666666667,1.70461538461538,3.62083333333333,,,,,,6.3779114358374,7.02098270862983,5.55500480118971,
2009-07-01,2009,7,0.714285714285714,5.63733333333333,6.61769230769231,7.26466666666667,,36.1484285714286,37.5968533333333,38.8857142857143,40.0166666666667,,1.34857142857143,1.33066666666667,3.54333333333333,,,,,,6.23581049260619,7.57239259431506,6.35476391610075,
2009-08-01,2009,8,0.653571428571429,5.66133333333333,6.82,7.08933333333333,,36.1442857142857,37.1613333333333,38.6248285714286,39.7363933333333,,1.24857142857143,1.56066666666667,3.5,,,,,,5.00518037110295,6.86667571332626,6.86222453135946,
2009-09-01,2009,9,0.671538461538462,5.93357142857143,6.33461538461538,7.10285714285714,,36.3676923076923,37.5035714285714,38.9437846153846,39.6761357142857,,1.59833333333333,1.90428571428571,3.70714285714286,,,,,,5.97222782868445,7.09722754286916,5.7539474466432,
2009-10-01,2009,10,0.659166666666667,6.01076923076923,6.26666666666667,7.00923076923077,,36.2225,37.0976923076923,38.829575,39.3427076923077,,2.249,2.18666666666667,4.16083333333333,4,3.875,4.65083333333333,,,4.82535266372508,7.20498012332405,6.01671963771201,
2009-11-01,2009,11,0.51,5.51166666666667,6.32636363636364,6.955,,36.1545454545455,36.3666666666667,38.5205545454545,38.6021,,2.1275,1.91363636363636,3.83909090909091,4,3.91666666666667,5.505,,,2.75972496938872,6.53990412215379,6.12654950806791,
2009-12-01,2009,12,0.588,6.10636363636364,6.876,7.22181818181818,,36.2581818181818,36.2581818181818,38.3883818181818,38.3881818181818,,1.73777777777778,2.34,3.93,4,3.9,4.82888888888889,,,2.45318400164402,5.87884950718314,5.87829702099529,
2010-01-01,2010,1,0.842727272727273,7.21818181818182,7.01363636363636,6.82545454545455,,36.3697454545455,38.2307363636364,38.4965090909091,39.9725181818182,,3.838,4.22818181818182,4.66727272727273,4.1,4.3,5.96333333333333,,,5.84367764018928,5.85613520687234,4.42627366260576,
2010-02-01,2010,2,0.785384615384615,7.06571428571429,7.01384615384615,6.72857142857143,,36.5453846153846,38.1570142857143,38.5177923076923,39.9946857142857,,3.63166666666667,4.6,5.29285714285714,4.02083333333333,4.025,5.335,,,5.63957443442494,5.42759695908678,4.71871348461217,
2010-03-01,2010,3,0.706875,7.00705882352941,6.2825,6.53941176470588,,36.41875,37.8783705882353,38.223725,39.5094294117647,,3.24533333333333,4.30882352941176,5.16470588235294,4.01666666666667,4.01875,5.19529411764706,,,4.86813562634356,4.95716302419655,4.23328487795809,
2010-04-01,2010,4,0.625294117647059,7.14944444444444,6.63529411764706,6.775,,36.5052941176471,37.8455777777778,38.5316588235294,39.6933111111111,,4.15333333333333,4.67411764705882,5.17352941176471,4,4.221875,4.98941176470588,,,4.77734711455642,5.55178761200357,4.81957610113787,
2010-05-01,2010,5,0.496470588235294,7.17333333333333,7.51941176470588,7.16944444444444,,36.7623529411765,38.1938888888889,38.9370882352941,40.0735555555556,,5.0866666666666696,5.17235294117647,5.52941176470588,4.06666666666667,4.32352941176471,5.02470588235294,,,5.74166359050081,5.91450494777717,4.85241288163713,
2010-06-01,2010,6,0.761428571428571,7.118,6.97142857142857,6.96333333333333,,36.865,38.446,39.0392857142857,39.966,,5.00833333333333,5.51285714285714,5.67857142857143,4.07692307692308,4.11071428571429,4.71928571428571,,,6.43964562569215,5.90120602779414,3.85579493300663,
2010-07-01,2010,7,0.4875,6.53176470588235,6.27625,6.37588235294118,,36.9398625,38.1109823529412,38.8622375,39.6947588235294,,4.44285714285714,5.45588235294118,5.45470588235294,4,4.24117647058824,4.65705882352941,,,5.51213276008078,5.20183921633812,4.06617918611792,
2010-08-01,2010,8,0.479166666666667,6.52071428571429,6.68583333333333,6.42714285714286,,37.035,37.8792214285714,39.0895,39.72735,,4.96818181818182,5.50214285714286,5.14285714285714,4,4.17307692307692,4.58357142857143,,,4.87049121974372,5.54779298037368,4.78759939197259,
2010-09-01,2010,9,0.425833333333333,6.33692307692308,6.53916666666667,6.41615384615385,,37.1666666666667,37.8321846153846,39.0259583333333,39.7104538461538,,4.48090909090909,5.46230769230769,5.09230769230769,4.08333333333333,4.16923076923077,4.67307692307692,,,4.74026748445354,5.00835136431401,4.8662343499335,
2010-10-01,2010,10,0.537333333333333,6.498125,6.57857142857143,6.12375,,37.4105785714286,37.89736875,39.2003214285714,39.727875,,4.21923076923077,5.669375,5.124375,4.71666666666667,4.98466666666667,4.74714285714286,,,4.92073297342193,4.79297453464808,4.74851349079119,
2010-11-01,2010,11,0.680714285714286,6.54,6.59642857142857,6.77733333333333,,37.3757142857143,37.6593333333333,38.8792857142857,39.104,,4.79928571428571,6.36866666666667,5.426,5.08461538461538,5.37333333333333,5.48,,,4.26172019195276,4.00724139396891,3.81143786469263,
2010-12-01,2010,12,0.577692307692308,6.04857142857143,6.36,6.46214285714286,,37.3810071428571,37.3810071428571,39.3967142857143,39.3967142857143,,5.27,6.59857142857143,5.34214285714286,5.04166666666667,5.03692307692308,5.07307692307692,,,3.49116041765543,5.40413436618868,5.40413436618868,
2011-01-01,2011,1,0.93,6.555,6.42882352941176,6.24722222222222,,37.5055705882353,39.1813705882353,38.9673222222222,40.5076555555556,,4.95411764705882,5.76833333333333,5.93833333333333,5.046875,5.38166666666667,6.16444444444444,,,4.37232442257671,3.89205366958445,3.26311284478051,
2011-02-01,2011,2,0.868571428571429,6.51266666666667,6.45857142857143,6.22333333333333,,37.8357642857143,39.2696785714286,38.9399533333333,40.5314466666667,,4.81692307692308,5.65333333333333,6.3,5.08928571428571,5.47,6.296,,,4.60756145825405,3.00092878338867,3.38294051742408,
2011-03-01,2011,3,1.00333333333333,7.28846153846154,6.9758333333333304,6.62615384615385,,37.8693846153846,39.3586615384615,38.97965,41.5510928571429,,4.71833333333333,5.5,6.08571428571429,5.97916666666667,5.94846153846154,7.28142857142857,,,4.84459653292898,2.92511617305875,5.82779736837521,
2011-04-01,2011,4,0.948125,7.83411764705882,7.3275,6.42529411764706,,37.98469375,39.5659125,39.1371176470588,40.8248647058824,,4.48785714285714,5.38125,5.8375,6.31666666666667,6.86133333333333,7.68375,,,5.39667687799681,3.05406266980173,3.29090664640019,
2011-05-01,2011,5,0.698333333333333,7.62615384615385,6.95833333333333,6.19076923076923,,38.0816666666667,39.9464583333333,39.2598384615385,41.1031384615385,,4.453,5.2825,6.04166666666667,6.77272727272727,7.02272727272727,7.8125,,,6.41038447877819,3.15265017671168,3.14942152439041,
2011-06-01,2011,6,0.513076923076923,7.76214285714286,7.27692307692308,6.24142857142857,,38.3437153846154,40.1624076923077,39.3417214285714,41.1087071428571,,3.99833333333333,5.06571428571429,5.83571428571429,6.78846153846154,7.20769230769231,7.62142857142857,,,6.98563583459695,2.47353883625653,2.37880432231218,
2011-07-01,2011,7,0.718333333333333,7.85692307692308,7.225,6.17692307692308,,38.3150166666667,40.1654833333333,39.2469230769231,40.6711461538462,,3.83636363636364,4.89666666666667,5.42916666666667,6.9,7.1,7.5625,,,6.9938288048304,2.5884262465754,1.42916881912681,
2011-08-01,2011,8,0.585714285714286,8.2,7.35,6.56933333333333,,38.3840214285714,40.4600285714286,39.3397533333333,41.0983733333333,,3.9775,4.5,5.1,6.81416666666667,6.87307692307692,7.17142857142857,,,7.77844584823807,2.54415866303054,1.64954984234376,
2011-09-01,2011,9,0.545833333333333,8.65230769230769,7.42333333333333,5.98230769230769,,38.4122833333333,40.3739,39.1292769230769,41.2231923076923,,4.175,4.4625,5.08,6.85,6.88636363636364,7.22916666666667,,,7.54901438465637,1.79655105742949,2.14585887510888,
2011-10-01,2011,10,0.251875,8.30882352941176,6.900625,6.33411764705882,,38.4202875,39.17003125,39.6063882352941,40.6820411764706,,4.36428571428571,4.496875,5.050625,6.75,6.80333333333333,6.9875,,,4.3421184070325,3.19206537972426,3.88971154743105,
2011-11-01,2011,11,0.306923076923077,8.4,7.31461538461538,6.06142857142857,,38.5767769230769,39.1055214285714,40.8383923076923,41.34715,,4.37,4.30642857142857,4.70857142857143,6.75,6.78571428571429,7.01785714285714,,,4.17027551564046,5.86626587288736,5.73174190306576,
2011-12-01,2011,12,0.38,8.08571428571429,6.30384615384615,6.095,,38.7058166666667,38.7549857142857,40.7186307692308,40.8458714285714,,4.73181818181818,4.40769230769231,4.72076923076923,6.75,6.72916666666667,6.75,,,3.23650962782556,4.92520075167224,5.37634063620708,
2012-01-01,2012,1,0.535882352941176,6.50777777777778,7.21294117647059,6.25944444444444,,39.0081,40.7333388888889,41.0164588235294,42.2976722222222,,4.27266666666667,4.61941176470588,5.36588235294118,6.734375,6.645625,7.29705882352941,,,4.92874520579312,5.12150839836191,3.77300342260302,
2012-02-01,2012,2,0.407692307692308,6.62714285714286,6.52615384615385,6.07142857142857,,39.1064,40.6363785714286,41.1531384615385,42.4667230769231,,3.91666666666667,4.58153846153846,5.27076923076923,6.75,6.79166666666667,7.46153846153846,,,4.67897622727607,5.23426924664612,4.46682336312214,
2012-03-01,2012,3,0.521538461538462,6.57615384615385,6.39461538461538,6.09,,39.1655076923077,41.0527615384615,41.4659,42.8742153846154,,4.25,4.67166666666667,5.24833333333333,6.72916666666667,6.77083333333333,7.58333333333333,,,5.75157531803591,5.85937690846933,4.37856544532716,
2012-04-01,2012,4,0.42,6.30916666666667,6.15666666666667,6.15166666666667,,39.2204916666667,41.2569333333333,41.572575,43.285075,,3.95,4.41090909090909,5.20545454545455,6.72727272727273,6.70454545454546,7.29545454545455,,,6.27752017860209,6.00471763600747,4.89423790330994,
2012-05-01,2012,5,0.373333333333333,5.84083333333333,5.9133333333333304,5.825,,39.058175,40.9033083333333,41.5143333333333,42.8803833333333,,4.365,4.72,5.26909090909091,6.72727272727273,6.65909090909091,7.11363636363636,,,5.36658509359437,6.28708227102029,4.81525642375653,
2012-06-01,2012,6,0.43,5.36181818181818,5.81636363636364,5.55545454545455,,38.8168909090909,40.6634363636364,41.2905272727273,42.0540909090909,,4.16777777777778,4.562,4.996,5.9,5.95,5.7,,,4.74867687696127,6.56926492895692,3.31803446893649,
2012-07-01,2012,7,0.381538461538462,4.69307692307692,5.58846153846154,5.56384615384615,,39.2097461538462,40.6182923076923,41.7900846153846,43.1414615384615,,3.95454545454545,4.16666666666667,4.73,5.875,5.6875,5.625,,,4.63238616097967,6.58398512347387,6.2200061744277,
2012-08-01,2012,8,0.473571428571429,4.23642857142857,5.52714285714286,5.16142857142857,,39.3303928571429,40.2381285714286,40.9920071428571,41.3151714285714,,3.61583333333333,4.03846153846154,4.69692307692308,5.36538461538461,5.13461538461539,4.84615384615385,,,3.65308751011997,4.25076190633707,2.55497190292088,
2012-09-01,2012,9,0.644615384615385,4.27428571428571,5.37214285714286,5.54928571428571,,39.3048071428571,40.6060214285714,41.3497428571429,41.9443214285714,,3.74916666666667,4.08846153846154,4.65076923076923,4.98076923076923,4.94230769230769,4.76923076923077,,,4.60077647751527,5.19404550629554,3.264748884387,
2012-10-01,2012,10,0.616923076923077,4.46615384615385,5.38769230769231,5.47692307692308,,39.5508,40.4429076923077,41.6188769230769,41.7222230769231,,3.87272727272727,3.91666666666667,4.30666666666667,4.9375,4.875,4.85416666666667,,,4.18059683747473,5.2267826778617,3.12659206277718,
2012-11-01,2012,11,0.688333333333333,4.42583333333333,6.0675,5.8375,,40.0269583333333,40.6809,42.0171583333333,42.360175,,3.756,3.80909090909091,3.81181818181818,4.93181818181818,4.93181818181818,5.02272727272727,,,4.79366306027821,4.97244084147734,4.13602919470892,
2012-12-01,2012,12,0.748,4.336,5.631,5.845,,40.49478,40.49478,42.33105,42.37105,,3.9075,3.97555555555556,3.69222222222222,4.97222222222222,4.97222222222222,5.19444444444444,,,4.31421947449768,4.53489744061768,4.63439992817987,
2013-01-01,2013,1,0.999230769230769,5.66615384615385,5.44076923076923,5.14615384615385,,40.6794615384615,42.5867307692308,42.7309692307692,44.3158692307692,,3.3,3.38333333333333,4.45666666666667,5,5.04166666666667,5.4375,,,5.41269992383854,5.05018571466056,4.04181673155241,
2013-02-01,2013,2,0.781428571428571,5.99214285714286,5.66357142857143,5.1,,40.7663285714286,42.6833928571429,43.0401214285714,44.5701928571429,,3.23333333333333,3.40769230769231,4.49076923076923,4.91666666666667,4.97916666666667,5.16666666666667,,,5.65196251768034,5.57286002238861,4.36959865556384,
2013-03-01,2013,3,0.524545454545455,5.96090909090909,5.59,5.15454545454545,,41.0470363636364,42.8588636363636,43.0526181818182,44.7529727272727,,3.12222222222222,3.612,4.598,5.025,5.025,5.375,,,6.08629612961297,4.88735106010721,4.41041981912692,
2013-04-01,2013,4,0.435,5.738,5.53133333333333,5.01266666666667,,41.0662857142857,42.5038333333333,42.9534266666667,44.2868466666667,,3.20416666666667,3.54285714285714,4.52214285714286,5,4.94642857142857,5.14285714285714,,,5.20750825082509,4.23830781757332,4.17135732954976,
2013-05-01,2013,5,0.359166666666667,5.44916666666667,5.335,5.17,,41.1548833333333,42.2547916666667,42.88025,44.135225,,2.298,3.10818181818182,4.12,4.95454545454545,4.93181818181818,4.95454545454545,,,4.59106848184819,4.19059720388982,4.4170528312492,
2013-06-01,2013,6,0.392142857142857,5.474,5.41533333333333,5.12933333333333,,41.5479666666667,42.6152466666667,43.25472,44.3773333333333,,2.26769230769231,2.91357142857143,4.02285714285714,4.33928571428571,4.26785714285714,4.32142857142857,,,5.48328382838284,4.10427427639155,4.11003689696828,
2013-07-01,2013,7,0.334615384615385,5.43307692307692,5.58384615384615,5.14538461538462,,41.9401307692308,42.7352769230769,43.6199692307692,44.4011769230769,,2.60909090909091,2.67416666666667,4.085,4.33333333333333,4.25,4.27083333333333,,,5.78038842345774,4.00633286107581,3.86917159214841,
2013-08-01,2013,8,0.591428571428571,5.39428571428571,5.71714285714286,5.42857142857143,,42.4042857142857,43.7628571428571,45.1085714285714,46.5671428571429,,3.18333333333333,2.95714285714286,3.86428571428571,4.25,4.21428571428571,4.22142857142857,,,8.32390381895333,6.35559285126591,6.30937564191472,
2013-09-01,2013,9,0.605333333333333,5.54733333333333,5.484,5.18866666666667,,42.7427066666667,45.2610866666667,44.41376,43.2304466666667,,2.34583333333333,2.46785714285714,3.75714285714286,6.23214285714286,6.23214285714286,6.33928571428571,,,12.0323927392739,3.90522963536077,-4.42078122790015,
2013-10-01,2013,10,0.485,5.50066666666667,5.5,5.222,,42.7384866666667,43.03578,44.5533733333333,45.20142,,2.55833333333333,2.48571428571429,3.85,6.25,6.21785714285714,6.11071428571429,,,6.52420792079208,4.24569442157058,5.02036732304793,
2013-11-01,2013,11,0.3625,5.18416666666667,5.305,5.0475,,42.5741666666667,42.9816666666667,45.0483333333333,45.5925,,2.85555555555556,2.73636363636364,4.02727272727273,6.25,6.18181818181818,6.09090909090909,,,6.39026402640265,5.81003195367835,6.0679587607377,
2013-12-01,2013,12,0.584375,4.120625,4.878125,4.709375,,42.86619375,42.87869375,44.86330625,44.94893125,,3.265,3.16666666666667,4.25333333333333,6.20666666666667,6.20666666666667,6.20666666666667,,,6.13538056930694,4.65897809642832,4.82813703317849,
2014-01-01,2014,1,0.578,4.63266666666667,4.75733333333333,4.38666666666667,,42.9674733333333,44.6368866666667,44.8040266666667,46.2781,,3.33538461538462,4.7,4.86666666666667,6.21666666666667,6.11666666666667,6.09666666666667,,,4.31616421282231,4.2703097925295,3.65067418399017,
2014-02-01,2014,2,0.394615384615385,4.69,4.69071428571429,4.51428571428571,,43.1440714285714,44.7384928571429,45.1161,46.6126357142857,,3.17272727272727,4.18571428571429,4.49285714285714,6.25,6.34857142857143,6.27714285714286,,,4.55361733382299,4.57537138473384,4.16759945024946,
2014-03-01,2014,3,0.401333333333333,4.512,4.5866666666666696,4.51666666666667,,43.3290333333333,44.8208866666667,45.2968733333333,46.5341,,3.33076923076923,4.54533333333333,4.906,6.25,6.26666666666667,6.25,,,4.74617122380619,4.53734630998863,3.81075849227816,
2014-04-01,2014,4,0.455333333333333,4.59733333333333,4.638,4.61066666666667,,43.33,44.822,45.3613333333333,46.4853333333333,,4.03461538461538,4.77866666666667,5.02666666666667,6.25,6.25,6.21666666666667,,,4.74877307782192,4.69038066987367,3.70858241036532,
2014-05-01,2014,5,0.391428571428571,4.30285714285714,4.44,4.41642857142857,,43.3242928571429,44.5273357142857,45.1742785714286,46.1851785714286,,3.87916666666667,4.60714285714286,4.9,6.25,6.21428571428571,6.32142857142857,,,4.060144225954,4.2748408783032,3.72581948945386,
2014-06-01,2014,6,0.262,4.24933333333333,4.38533333333333,4.36333333333333,,43.5413333333333,44.7353333333333,45.8973333333333,46.7773333333333,,4.60769230769231,4.88333333333333,4.85333333333333,6.25,6.25,6.31666666666667,,,4.54623354366285,5.40779864522456,4.53162988479974,
2014-07-01,2014,7,0.257692307692308,4.10153846153846,4.10076923076923,4.36461538461538,,43.5840769230769,44.3935846153846,45.4859923076923,46.3460538461538,,4.3,4.81923076923077,4.83769230769231,6.25,6.23076923076923,6.19230769230769,,,3.74756862674601,4.36583905576523,4.38811381003635,
2014-08-01,2014,8,0.496666666666667,4.355,4.36666666666667,4.61333333333333,,43.6541666666667,44.31,45.5227272727273,46.2627272727273,,3.83888888888889,4.54545454545455,4.69090909090909,6.25,6.18181818181818,6.15909090909091,,,3.5522318298668,4.27933543392213,4.3940102733396,
2014-09-01,2014,9,0.257857142857143,3.91214285714286,4.01,4.415,,43.835,44.28,45.1992857142857,45.8157142857143,,4.86666666666667,5.50214285714286,5.37142857142857,6.25,6.25,6.32692307692308,,,3.48212199111942,3.1124986919901,3.45617915206536,
2014-10-01,2014,10,0.275384615384615,3.85615384615385,3.65307692307692,4.58153846153846,,43.9361538461538,44.1923076923077,45.2607692307692,45.7938461538462,,4.54,5.275,4.825,6.125,6.1375,6.14583333333333,,,3.27718553939634,3.01608575550288,3.62085773849841,
2014-11-01,2014,11,0.182857142857143,3.62571428571429,3.61428571428571,3.975,,44.1228571428571,44.3707142857143,45.9307142857143,46.2328571428571,,5.09846153846154,5.82357142857143,5.23142857142857,6.16071428571429,6.125,6.125,,,3.69412078923647,4.09635688857663,4.19332944499453,
2014-12-01,2014,12,0.00142857142857143,2.744,3.36133333333333,3.80866666666667,,44.3206666666667,44.3206666666667,46.06,46.1233333333333,,4.94285714285714,5.93333333333333,5.26,6,6,6,,,3.57715977253252,3.92575158408308,4.06853805618375,
2015-01-01,2015,1,0.0344444444444445,3.46888888888889,3.34777777777778,3.94444444444444,,44.77,46.0433333333333,46.39,47.9677777777778,,5.19875,5.30666666666667,5.17777777777778,6.08333333333333,6.05555555555556,6.11111111111111,,,3.79470994890292,3.6258397820362,4.17477196118884,
2015-02-01,2015,2,0.148571428571429,3.63285714285714,3.36,3.88916666666667,,44.9372357142857,46.4757928571429,46.8723076923077,48.2625,,5.20285714285714,5.49071428571429,5.21,6.25,6.32142857142857,6.21428571428571,,,4.76959616127786,4.29797139046437,3.98951233733692,
2015-03-01,2015,3,0.344285714285714,3.35,3.53133333333333,3.66666666666667,,44.8213333333333,45.92,46.57,47.8173333333333,,5.56142857142857,5.57066666666667,5.48266666666667,6.25,6.25,6.38333333333333,,,3.51668169522092,3.90092440987211,4.12580647144585,
2015-04-01,2015,4,0.256,3.228,3.04133333333333,3.802,,44.8671428571429,45.9728571428571,46.425,47.4857142857143,,5.35769230769231,5.47357142857143,5.25285714285714,5.75,5.73214285714286,5.76785714285714,,,3.63583666108464,3.47372533766097,3.28286250052215,
